text,label
"I forgot my password","Account Access"
"I cannot log into my account","Account Access"
"My account is locked","Account Access"
"How can I reset my password?","Account Access"
"I can't sign in","Account Access"
"I forgot my login details","Account Access"
"Why can't I access my account?","Account Access"
"My password isn't working","Account Access"
"I am unable to sign into the website","Account Access"
"How do I recover my account?","Account Access"
"I was charged twice","Billing"
"I need a refund","Billing"
"My payment failed","Billing"
"Why was I charged extra?","Billing"
"I don't recognize this charge","Billing"
"How much does the subscription cost?","Billing"
"My credit card was declined","Billing"
"I want to cancel my subscription","Billing"
"Where can I find my invoice?","Billing"
"I was charged for something I didn't buy","Billing"
"The application keeps crashing","Technical Issue"
"The website is not loading","Technical Issue"
"I keep getting an error message","Technical Issue"
"The app is very slow","Technical Issue"
"The application stopped working","Technical Issue"
"I cannot upload a file","Technical Issue"
"The website keeps freezing","Technical Issue"
"I am seeing a technical error","Technical Issue"
"The app crashes when I open it","Technical Issue"
"The system is not responding","Technical Issue"
"What are your opening hours?","General Inquiry"
"Where can I contact support?","General Inquiry"
"Do you have a mobile app?","General Inquiry"
"How can I learn more about your services?","General Inquiry"
"Where can I find more information?","General Inquiry"
"How can I contact your team?","General Inquiry"
"What services do you provide?","General Inquiry"
"Where are you located?","General Inquiry"
"Can you tell me more about your company?","General Inquiry"
"How does your service work?","General Inquiry"
"I can't sign in","Account Access"
"I can't login","Account Access"
"Why can't I log in?","Account Access"
"I am having trouble signing in","Account Access"
"Login is not working","Account Access"
"I cannot access my account","Account Access"
"I am locked out of my account","Account Access"
"My login isn't working","Account Access"
"How do I log into my account?","Account Access"
"How do I sign in?","Account Access"
"Can you give me more information?","General Inquiry"
"I need some information about your service","General Inquiry"
"Can you tell me more?","General Inquiry"
"I have a general question","General Inquiry"
"Where can I get information about your services?","General Inquiry"
"Can you provide more details?","General Inquiry"
"I want to know more about your services","General Inquiry"
"Where can I learn more?","General Inquiry"
"Can you explain your services?","General Inquiry"
"I need more details about your company","General Inquiry"

"I need a refund","Billing"
"Can I get my money back?","Billing"
"I want my payment refunded","Billing"
"Please refund my purchase","Billing"
"I don't recognize this charge","Billing"
"There is a charge I don't recognize","Billing"
"Why was I charged for this?","Billing"
"I was charged unexpectedly","Billing"
"I don't know what this payment is","Billing"
"Can you explain this charge on my account?","Billing"
